Level;CIUO-88 Título SP;Código CIUO-88;Código CIUO-08; CIUO-08 parte;CIUO-08 Título SP;
4;Agentes de viajes;3414;3339;p;Agentes de servicios comerciales no clasificados bajo otros epígrafes;
4;Agentes de viajes;3414;4221;p;Empleados de agencias de viajes;
4;Representantes comerciales y técnicos de ventas;3415;2433;;Profesionales de ventas técnicas y médicas (excluyendo la TIC);
4;Representantes comerciales y técnicos de ventas;3415;2434;;Profesionales de ventas de tecnología de la información y las comunicaciones;
4;Representantes comerciales y técnicos de ventas;3415;3322;;Representantes comerciales;
4;Compradores;3416;3323;;Agentes de compras;
4;Tasadores y subastadores;3417;3315;;Tasadores;
4;Tasadores y subastadores;3417;3339;p;Agentes de servicios comerciales no clasificados bajo otros epígrafes;
4;Profesionales de nivel medio en operaciones y comerciales, no clasificados bajo otros epígrafes;3419;3312;;Oficiales de préstamos y créditos;
4;Agentes de compras y consignatarios;3421;3324;;Agentes de compras y consignatarios;
4;Declarantes o gestores de aduana;3422;3331;;Declarantes o gestores de aduana;
4;Agentes públicos y privados de colocación y contratistas de mano de obra;3423;3333;p;Agentes de empleo y contratistas de mano de obra;
4;Agentes comerciales y corredores, no clasificados bajo otros epígrafes;3429;3339;p;Agentes de servicios comerciales no clasificados bajo otros epígrafes;
4;Profesionales de nivel medio de servicios administrativos y afines;3431;3341;p;Supervisores de secretaría;
4;Profesionales de nivel medio de servicios administrativos y afines;3431;3342;p;Secretarios jurídicos;
4;Profesionales de nivel medio de servicios administrativos y afines;3431;3343;p;Secretarios administrativos y ejecutivos;
4;Profesionales de nivel medio de servicios administrativos y afines;3431;3344;p;Secretarios médicos;
4;Profesionales de nivel medio del derecho y servicios legales o afines;3432;3411;;Profesionales de nivel medio del derecho y servicios legales y afines;
4;Tenedores de libros;3433;3313;p;Tenedores de libros;
4;Profesionales de nivel medio de servicios estadísticos, matemáticos y afines;3434;3313;p;Tenedores de libros;
4;Profesionales de nivel medio de servicios estadísticos, matemáticos y afines;3434;3314;;Profesionales de nivel medio de servicios estadísticos, matemáticos y afines;
4;Profesionales de nivel medio de servicios de administración, no clasificados bajo otros epígrafes;3439;3332;p;Organizadores de conferencias y eventos;
4;Profesionales de nivel medio de servicios de administración, no clasificados bajo otros epígrafes;3439;3343;p;Secretarios administrativos y ejecutivos;
4;Profesionales de nivel medio de servicios de administración, no clasificados bajo otros epígrafes;3439;3359;p;Agentes de la administración pública para la aplicacion de la ley y afines no clasificados bajo otros epígrafes;
4;Profesionales de nivel medio de servicios de administración, no clasificados bajo otros epígrafes;3439;3433;;Técnicos en galerías de arte, museos y bibliotecas;
